category_id,category_name,parent_category,url
,"Rangement, étagère et organisation",Dressing et rangement,https://www.bricodepot.fr/produits/dressing-et-rangement/rangement-etagere-et-organisation
,Dressing et rangement 1er prix,Dressing et rangement,https://www.bricodepot.fr/produits/dressing-et-rangement/dressing-et-rangement-premier-prix
,Meuble et vasque de salle de bain,Salle de bain et WC,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/meuble-et-vasque-de-salle-de-bain
,"Douche, baignoire et wc",Salle de bain et WC,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/douche-baignoire-et-wc
,"Chauffage, plomberie et accessoire de salle de bain",Salle de bain et WC,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/chauffage-plomberie-et-accessoire-de-salle-de-bain
,1er prix en salle de bains,Salle de bain et WC,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/salle-de-bains-premier-prix
,Meuble et aménagement de cuisine sur mesure,Cuisine,https://www.bricodepot.fr/produits/cuisine/meuble-et-amenagement-de-cuisine-sur-mesure
,Electroménager et équipement de cuisine,Cuisine,https://www.bricodepot.fr/produits/cuisine/electromenager-et-equipement-de-cuisine
,Revêtement et finition cuisine,Cuisine,https://www.bricodepot.fr/produits/cuisine/revetement-et-finition-cuisine
,Cuisine 1er prix,Cuisine,https://www.bricodepot.fr/produits/cuisine/cuisine-premier-prix
,Accessoire de ménage,Droguerie et produit d'entretien,https://www.bricodepot.fr/produits/quincaillerie/droguerie-et-produit-d-entretien/accessoire-de-menage
,Produit d'entretien,Droguerie et produit d'entretien,https://www.bricodepot.fr/produits/quincaillerie/droguerie-et-produit-d-entretien/produit-d-entretien
,Tapis et paillasson,Droguerie et produit d'entretien,https://www.bricodepot.fr/produits/quincaillerie/droguerie-et-produit-d-entretien/tapis-et-paillasson
,Sécurité de la maison,Sécurité et Contrôle d’Accès,https://www.bricodepot.fr/produits/quincaillerie/securite-et-controle-d-acces/securite-de-la-maison
,Serrurerie,Sécurité et Contrôle d’Accès,https://www.bricodepot.fr/produits/quincaillerie/securite-et-controle-d-acces/serrurerie
,Boîte aux lettres,Sécurité et Contrôle d’Accès,https://www.bricodepot.fr/produits/quincaillerie/securite-et-controle-d-acces/boite-aux-lettres
,Signalisation de chantier,Sécurité et Contrôle d’Accès,https://www.bricodepot.fr/produits/quincaillerie/securite-et-controle-d-acces/signalisation-de-chantier
